param_metric,param_n_neighbors,param_weights,mean_train_accuracy,mean_test_accuracy,mean_train_loss,mean_test_loss
manhattan,8,uniform,0.6411715128529287,0.5416772018541931,0.3588284871470713,0.4583227981458069
manhattan,9,uniform,0.6344079224610197,0.5409186683522966,0.36559207753898026,0.4590813316477034
manhattan,9,distance,0.9680151706700378,0.5397387273493468,0.03198482932996216,0.4602612726506532
manhattan,6,uniform,0.6647703329119258,0.5389801938474504,0.3352296670880742,0.46101980615254956
manhattan,8,distance,0.9680151706700378,0.5387273493468183,0.03198482932996216,0.4612726506531817
manhattan,5,distance,0.9680151706700378,0.537126000842815,0.03198482932996216,0.46287399915718497
manhattan,5,uniform,0.6821112515802781,0.5370417193426043,0.3178887484197219,0.46295828065739575
manhattan,7,uniform,0.6519384745048462,0.5363674673409187,0.3480615254951538,0.46363253265908133
manhattan,6,distance,0.9680151706700378,0.5359460598398651,0.03198482932996216,0.4640539401601349
manhattan,7,distance,0.9680151706700378,0.5358617783396544,0.03198482932996216,0.4641382216603456
manhattan,4,uniform,0.6984197218710493,0.5332490518331225,0.3015802781289507,0.46675094816687746
manhattan,4,distance,0.9680151706700378,0.5286135693215339,0.03198482932996216,0.4713864306784661
manhattan,3,uniform,0.7366203118415509,0.5279393173198483,0.26337968815844914,0.47206068268015167
manhattan,3,distance,0.9680151706700378,0.5268436578171091,0.03198482932996216,0.47315634218289093
manhattan,2,distance,0.9680151706700378,0.515212810788032,0.03198482932996216,0.48478718921196795
manhattan,2,uniform,0.762473662031184,0.5006321112515802,0.23752633796881595,0.49936788874841975
euclidean,9,uniform,0.4700379266750948,0.4225031605562579,0.5299620733249052,0.5774968394437421
euclidean,8,uniform,0.47243994943109985,0.421913190054783,0.5275600505689002,0.578086809945217
euclidean,7,uniform,0.477117572692794,0.4187104930467762,0.522882427307206,0.5812895069532238
euclidean,8,distance,0.6117361989043404,0.41744627054361566,0.3882638010956596,0.5825537294563843
euclidean,9,distance,0.612220817530552,0.41685630004214075,0.387779182469448,0.5831436999578592
euclidean,7,distance,0.6115254951538137,0.41677201854193,0.3884745048461863,0.58322798145807
euclidean,5,uniform,0.48737884534344716,0.4154235145385588,0.5126211546565529,0.5845764854614413
euclidean,5,distance,0.6105773282764433,0.4153392330383481,0.3894226717235567,0.5846607669616519
euclidean,4,uniform,0.46567635903919086,0.3896333754740834,0.5343236409608092,0.6103666245259166
euclidean,4,distance,0.5815844922039612,0.3833122629582807,0.41841550779603875,0.6166877370417193
euclidean,6,uniform,0.4197850821744627,0.35726927939317316,0.5802149178255374,0.6427307206068269
euclidean,6,distance,0.5500210703750527,0.35457227138643066,0.44997892962494734,0.6454277286135693
euclidean,3,distance,0.5480615254951539,0.3468183733670459,0.45193847450484614,0.6531816266329541
euclidean,3,uniform,0.4490518331226296,0.34673409186683524,0.5509481668773704,0.6532659081331648
euclidean,2,distance,0.545701643489254,0.34159292035398225,0.454298356510746,0.6584070796460177
euclidean,2,uniform,0.45514117151285294,0.33628318584070793,0.5448588284871471,0.6637168141592921
