param_C,param_max_iter,param_solver,mean_train_accuracy,mean_test_accuracy,mean_train_loss,mean_test_loss
1,2000,newton-cg,0.6068057311420143,0.5993257479983144,0.3931942688579857,0.4006742520016856
1,1500,newton-cg,0.6068057311420143,0.5993257479983144,0.3931942688579857,0.4006742520016856
1,1000,newton-cg,0.6068057311420143,0.5993257479983144,0.3931942688579857,0.4006742520016856
1,1000,saga,0.6069953645174884,0.5991571849978929,0.39300463548251163,0.40084281500210706
1,2000,saga,0.6069953645174884,0.5991571849978929,0.39300463548251163,0.40084281500210706
1,1500,saga,0.6069953645174884,0.5991571849978929,0.39300463548251163,0.40084281500210706
1,2000,sag,0.6069742941424356,0.5991571849978929,0.39302570585756436,0.40084281500210706
1,1500,sag,0.6069742941424356,0.5991571849978929,0.39302570585756436,0.40084281500210706
1,1000,sag,0.6069742941424356,0.5991571849978929,0.39302570585756436,0.40084281500210706
1,1500,lbfgs,0.6071007163927519,0.5989886219974716,0.39289928360724813,0.4010113780025284
1,1000,lbfgs,0.6071007163927519,0.5989886219974716,0.39289928360724813,0.4010113780025284
1,2000,lbfgs,0.6071007163927519,0.5989886219974716,0.39289928360724813,0.4010113780025284
100,1500,lbfgs,0.6077538980193846,0.5989043404972609,0.3922461019806154,0.40109565950273907
100,2000,lbfgs,0.6077538980193846,0.5989043404972609,0.3922461019806154,0.40109565950273907
100,1000,lbfgs,0.6077538980193846,0.5989043404972609,0.3922461019806154,0.40109565950273907
10,1500,lbfgs,0.6071849978929625,0.5980615254951539,0.39281500210703746,0.4019384745048461
10,2000,lbfgs,0.6071849978929625,0.5980615254951539,0.39281500210703746,0.4019384745048461
10,1000,lbfgs,0.6071849978929625,0.5980615254951539,0.39281500210703746,0.4019384745048461
10,2000,saga,0.6073114201432785,0.597977243994943,0.39268857985672145,0.402022756005057
10,1500,saga,0.6071639275179097,0.597977243994943,0.3928360724820903,0.402022756005057
10,1000,sag,0.6073114201432785,0.597977243994943,0.39268857985672145,0.402022756005057
10,2000,sag,0.6073535608933838,0.597977243994943,0.39264643910661623,0.402022756005057
10,1500,sag,0.6073324905183312,0.597977243994943,0.39266750948166884,0.402022756005057
10,1000,saga,0.6069953645174884,0.5978929624947323,0.39300463548251163,0.40210703750526766
100,1000,saga,0.6069742941424356,0.5978086809945218,0.39302570585756436,0.4021913190054782
100,1500,saga,0.6072060682680152,0.5978086809945218,0.39279393173198485,0.4021913190054782
10,2000,newton-cg,0.6072060682680152,0.5978086809945216,0.39279393173198485,0.40219131900547844
10,1500,newton-cg,0.6072060682680152,0.5978086809945216,0.39279393173198485,0.40219131900547844
10,1000,newton-cg,0.6072060682680152,0.5978086809945216,0.39279393173198485,0.40219131900547844
100,1000,newton-cg,0.607732827644332,0.5977243994943111,0.392267172355668,0.4022756005056889
100,1000,sag,0.6073746312684365,0.5977243994943111,0.3926253687315635,0.4022756005056889
100,1500,newton-cg,0.607732827644332,0.5977243994943111,0.392267172355668,0.4022756005056889
100,2000,newton-cg,0.607732827644332,0.5977243994943111,0.392267172355668,0.4022756005056889
100,2000,saga,0.6073746312684365,0.5977243994943111,0.3926253687315635,0.4022756005056889
0.1,1000,sag,0.603834808259587,0.5977243994943111,0.396165191740413,0.4022756005056889
0.1,1500,sag,0.603834808259587,0.5977243994943111,0.396165191740413,0.4022756005056889
0.1,2000,sag,0.603834808259587,0.5977243994943111,0.396165191740413,0.4022756005056889
0.1,1500,saga,0.6039190897597977,0.5976401179941003,0.3960809102402023,0.40235988200589967
0.1,1000,saga,0.6039190897597977,0.5976401179941003,0.3960809102402023,0.40235988200589967
0.1,2000,saga,0.6039190897597977,0.5976401179941003,0.3960809102402023,0.40235988200589967
0.1,1500,newton-cg,0.6039401601348504,0.5975558364938897,0.3960598398651496,0.40244416350611034
0.1,2000,newton-cg,0.6039401601348504,0.5975558364938897,0.3960598398651496,0.40244416350611034
0.1,1000,newton-cg,0.6039401601348504,0.5975558364938897,0.3960598398651496,0.40244416350611034
100,2000,sag,0.6074378423935947,0.5975558364938897,0.39256215760640534,0.40244416350611034
100,1500,sag,0.6073746312684366,0.5974715549936789,0.3926253687315634,0.4025284450063211
0.1,2000,lbfgs,0.6038137378845343,0.5973029919932575,0.3961862621154657,0.40269700800674246
0.1,1000,lbfgs,0.6038137378845343,0.5973029919932575,0.3961862621154657,0.40269700800674246
0.1,1500,lbfgs,0.6038137378845343,0.5973029919932575,0.3961862621154657,0.40269700800674246
1,1000,liblinear,0.6035819637589549,0.5966287399915717,0.3964180362410451,0.40337126000842827
1,1500,liblinear,0.6035819637589549,0.5966287399915717,0.3964180362410451,0.40337126000842827
1,2000,liblinear,0.6035819637589549,0.5966287399915717,0.3964180362410451,0.40337126000842827
10,1000,liblinear,0.6039190897597977,0.5961230509903077,0.3960809102402023,0.4038769490096923
10,2000,liblinear,0.6039190897597977,0.5961230509903077,0.3960809102402023,0.4038769490096923
10,1500,liblinear,0.6039190897597977,0.5961230509903077,0.3960809102402023,0.4038769490096923
100,1500,liblinear,0.6042983565107459,0.5959544879898863,0.3957016434892541,0.40404551201011374
100,2000,liblinear,0.6042983565107459,0.5959544879898863,0.3957016434892541,0.40404551201011374
100,1000,liblinear,0.6042983565107459,0.5959544879898863,0.3957016434892541,0.40404551201011374
0.1,1500,liblinear,0.6005056890012642,0.5942688579856721,0.3994943109987358,0.4057311420143279
0.1,2000,liblinear,0.6005056890012642,0.5942688579856721,0.3994943109987358,0.4057311420143279
0.1,1000,liblinear,0.6005056890012642,0.5942688579856721,0.3994943109987358,0.4057311420143279
